DATE,STIOLD
1988-06-06,828.94
1988-06-07,826.08
1988-06-08,831.26
1988-06-09,818.27
1988-06-10,836.99
1988-06-13,834.8
1988-06-14,834.63
1988-06-15,847.54
1988-06-16,852.24
1988-06-17,848.41
1988-06-20,851.6
1988-06-21,836.88
1988-06-22,851.73
1988-06-23,867.5
1988-06-24,871.43
1988-06-27,869.81
1988-06-28,871.96
1988-06-29,873.16
1988-06-30,877.05
1988-07-01,888.37
1988-07-04,877.58
1988-07-05,878.26
1988-07-06,876.03
1988-07-07,870.08
1988-07-08,878.34
1988-07-11,880.75
1988-07-12,884.08
1988-07-13,884.71
1988-07-14,889.16
1988-07-15,895.57
1988-07-18,909.53
1988-07-19,899.61
1988-07-20,904.99
1988-07-21,914.12
1988-07-22,906.79
1988-07-26,899.79
1988-07-27,904.99
1988-07-28,904.97
1988-07-29,913.44
1988-08-01,935.53
1988-08-02,940.27
1988-08-03,952.63
1988-08-04,948.73
1988-08-05,951.77
1988-08-08,959.62
1988-08-10,927.79
1988-08-11,917.48
1988-08-12,917.66
1988-08-15,906.7
1988-08-16,904.69
1988-08-17,905.75
1988-08-18,883.12
1988-08-19,874.4
1988-08-22,866.95
1988-08-23,860.54
1988-08-24,861.3
1988-08-25,865.06
1988-08-26,844.52
1988-08-29,820.72
1988-08-30,826.99
1988-08-31,843.22
1988-09-01,839.1
1988-09-02,849.04
1988-09-05,853.77
1988-09-06,849.97
1988-09-07,848.3
1988-09-08,852.73
1988-09-09,850.83
1988-09-12,846.87
1988-09-13,845.51
1988-09-14,847.6
1988-09-15,851.38
1988-09-16,848.95
1988-09-19,844.7
1988-09-20,825.58
1988-09-21,827.76
1988-09-22,826.19
1988-09-23,818.34
1988-09-26,805.45
1988-09-27,806.59
1988-09-28,815.95
1988-09-29,815.41
1988-09-30,820.67
1988-10-03,811.96
1988-10-04,796.84
1988-10-05,788.79
1988-10-06,798.35
1988-10-07,807.78
1988-10-10,821.51
1988-10-11,819.4
1988-10-12,808.84
1988-10-13,805.5
1988-10-14,805.49
1988-10-17,812.65
1988-10-18,823.16
1988-10-19,827.73
1988-10-20,826.65
1988-10-21,836.38
1988-10-24,842.47
1988-10-25,835.92
1988-10-26,843.29
1988-10-27,842.7
1988-10-28,836.3
1988-10-31,837.88
1988-11-01,833.69
1988-11-02,830.11
1988-11-03,830.17
1988-11-04,830.36
1988-11-07,829.59
1988-11-09,835.22
1988-11-10,822.49
1988-11-11,823.27
1988-11-14,809.98
1988-11-15,804.63
1988-11-16,808.83
1988-11-17,802.89
1988-11-18,799.82
1988-11-21,800.88
1988-11-22,808.76
1988-11-23,813.66
1988-11-24,818.42
1988-11-25,816.76
1988-11-28,811.45
1988-11-29,812.3
1988-11-30,812.33
1988-12-01,810.28
1988-12-02,807.43
1988-12-05,802.33
1988-12-06,804.24
1988-12-07,808.08
1988-12-08,809.46
1988-12-09,810.03
1988-12-12,808.51
1988-12-13,810.09
1988-12-14,808.77
1988-12-15,810.67
1988-12-16,808.86
1988-12-19,814.92
1988-12-20,818.43
1988-12-21,818.05
1988-12-22,821.13
1988-12-23,835.41
1988-12-27,849.89
1988-12-28,861.27
1988-12-29,858.28
1988-12-30,853.65
1989-01-03,850.35
1989-01-04,848.71
1989-01-05,855.17
1989-01-06,861.48
1989-01-09,889.38
1989-01-10,898.83
1989-01-11,904.8
1989-01-12,911.9
1989-01-13,912.54
1989-01-16,920.46
1989-01-17,917.2
1989-01-18,908.78
1989-01-19,914.21
1989-01-20,912.09
1989-01-23,913.78
1989-01-24,908.11
1989-01-25,920.21
1989-01-26,924.87
1989-01-27,930.5
1989-01-30,945.63
1989-01-31,943.53
1989-02-01,946.37
1989-02-02,940.76
1989-02-03,946.29
1989-02-08,956.69
